	Beam diameter / mm	Plane-convex config RMS /mm	Convex-plane config RMS / mm
	1	2.743748772297477e-05	6.922591318523573e-06
	2	0.00022767075169904618	5.743311041129362e-05
	3	0.0007739381375322313	0.00019518470609164053
	4	0.0018403136923172661	0.0004639480274421092
	5	0.0036021518337951003	0.0009076755640551058
	6	0.00623652526321808	0.0015705628501944653
	7	0.009922674885123045	0.002497110757359331
	8	0.014842473896268926	0.0037321888820550774
	9	0.021180909148945753	0.005321100236141096
	10	0.029126583180492743	0.007309647472854126
			
